PRODUCTID,LOCATIONID,ZONEID,PRODUCTCATEGORYID,DIVISIONID,SOURCEID,EFFECTIVEDATE,PREVIOUSPRICE,PREVIOUSMULTIPLE,NEWPRICE,NEWMULTIPLE,CURRENTRETAILPRICE,CURRENTRETAILMULTIPLE,OVERRIDEPRICE,OVERRIDEMULTIPLE,COST,COMP1ID,COMP1PRICE,COMP2ID,COMP2PRICE,COMP3ID,COMP3PRICE,VOLUME,REVENUE,GROSSMARGIN,ISLOCKED,RULEEXCEPTION
171743,82,20,201,0,1169,2015-04-19 00:00:00.0,0.6500,1,0.6800,1,0.6500,1,,0,0.5000,0,,0,,0,,140.6531,95.6441,25.3176,0,0
171743,41,5,201,0,1169,2015-04-19 00:00:00.0,0.7600,1,0.6800,1,0.7600,1,,0,0.5000,0,,0,,0,,117.8391,80.1306,21.2110,0,0
171743,49,5,201,0,1169,2015-04-19 00:00:00.0,0.7600,1,0.6800,1,0.7600,1,,0,0.5000,0,,0,,0,,333.4193,226.7251,60.0155,0,0
171743,55,5,201,0,1169,2015-04-19 00:00:00.0,0.7600,1,0.6800,1,0.7600,1,,0,0.5000,0,,0,,0,,239.5156,162.8706,43.1128,0,0
171743,10,6,201,0,1169,2015-04-19 00:00:00.0,0.6800,1,0.6600,1,0.6800,1,,0,0.5000,0,,0,,0,,620.5883,409.5883,99.2941,0,0
171743,39,6,201,0,1169,2015-04-19 00:00:00.0,0.6800,1,0.6600,1,0.6800,1,,0,0.5000,0,,0,,0,,306.4976,202.2884,49.0396,0,0
171743,48,6,201,0,1169,2015-04-19 00:00:00.0,0.6800,1,0.6600,1,0.6800,1,,0,0.5000,0,,0,,0,,643.9862,425.0309,103.0378,0,0
171765,56,6,201,0,1169,2015-04-19 00:00:00.0,0.7100,1,0.7500,1,0.7100,1,,0,0.5000,0,,0,,0,,224.5387,168.4040,56.1347,0,0
171765,80,6,201,0,1169,2015-04-19 00:00:00.0,0.7100,1,0.7500,1,0.7100,1,,0,0.5000,0,,0,,0,,862.6083,646.9562,215.6521,0,0
171765,84,6,201,0,1169,2015-04-19 00:00:00.0,0.7100,1,0.7500,1,0.7100,1,,0,0.5000,0,,0,,0,,591.9234,443.9426,147.9809,0,0
171765,93,6,201,0,1169,2015-04-19 00:00:00.0,0.7100,1,0.7500,1,0.7100,1,,0,0.5000,0,,0,,0,,307.1129,230.3346,76.7782,0,0
171765,5,13,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,119.6754,76.5923,16.7546,0,0
171765,47,13,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,61.7725,39.5344,8.6482,0,0
171765,101,13,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,198.8889,127.2889,27.8444,0,0
171765,30,14,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,398.8165,254.2371,54.8288,0,0
171765,33,20,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,31.0522,19.8734,4.3473,0,0
171765,70,20,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,86.1303,55.1234,12.0582,0,0
171765,82,20,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,78.4038,50.1784,10.9765,0,0
171765,41,5,201,0,1169,2015-04-19 00:00:00.0,0.7100,1,0.7500,1,0.7100,1,,0,0.5000,0,,0,,0,,34.0483,25.5362,8.5121,0,0
171765,49,5,201,0,1169,2015-04-19 00:00:00.0,0.7100,1,0.7500,1,0.7100,1,,0,0.5000,0,,0,,0,,84.9365,63.7024,21.2341,0,0
171765,55,5,201,0,1169,2015-04-19 00:00:00.0,0.7100,1,0.7500,1,0.7100,1,,0,0.5000,0,,0,,0,,89.2958,66.9719,22.3240,0,0
171765,10,6,201,0,1169,2015-04-19 00:00:00.0,0.7100,1,0.7500,1,0.7100,1,,0,0.5000,0,,0,,0,,176.7349,132.5512,44.1837,0,0
171765,39,6,201,0,1169,2015-04-19 00:00:00.0,0.7100,1,0.7500,1,0.7100,1,,0,0.5000,0,,0,,0,,116.2621,87.1966,29.0655,0,0
171765,48,6,201,0,1169,2015-04-19 00:00:00.0,0.7100,1,0.7500,1,0.7100,1,,0,0.5000,0,,0,,0,,280.4309,210.3232,70.1077,0,0
171765,54,6,201,0,1169,2015-04-19 00:00:00.0,0.7100,1,0.7500,1,0.7100,1,,0,0.5000,0,,0,,0,,124.8593,93.6445,31.2148,0,0
